Year,Europe,UE15 (First 15 EU members) ,inc. Spain,inc. Italy,inc. Portugal,NEM (New EU Members 1995 and 2002) ,inc. Poland,NEM 2007,inc. Romania,Rest of Europe,Europe (excluded. EEE),AELE (Norway Iceland liechtenstein),inc. Serbia and Montenegro,inc. Switzerland,CEI (Ex-USSR in Russia),CEI Europe (Ex-USSR in Europe),inc. Russian federation,CEI Asia (Ex-USSR in asia),Asia,South-east asia,oriental Asia,inc. China (PRC),inc. Japan,Meridional Asia,inc. India,inc. Sri Lanka,Rest of Asie,inc. Turkey,Africa,Maghreb,Algeria,Morocco,Tunisia,subsaharian Africa,inc. Cameroon,inc. Comores,inc. Congo,inc. Ivory coast,inc. Madagascar,inc. Mali,inc. Mauritania,inc. Senegal,Rest of Africa,inc. Democratic Congo,America,North America,Canada,USA,South America,inc. Brazil,inc. Haïti,Oceania,Refused,TOTAL,Nan,Nan;;;;;;;;;;;;;;;;;;;;
1998,22706,16141,1415,1949,11668,2860,1193,0,1149,3705,2658,1047,1738,1035,0,0,459,0,20257,6596,879,822,40,2819,374,989,9963,7158,59791,48301,13610,25585,9106,7732,1158,488,624,989,1175,429,157,1212,3758,1340,4379,893,407,486,3486,405,1372,63,16565,123761,0,0;;;;;;;;;;;;;;;;;;;;
1999,24727,17547,1400,1809,13151,2704,1247,0,920,4476,3483,993,2249,987,0,0,638,0,25668,6958,997,834,47,3434,317,1439,14279,11380,80443,66508,15743,38298,12467,9271,1400,432,932,1113,1288,490,257,1530,4664,1495,4858,989,481,508,3869,403,1711,68,11758,147522,0,0;;;;;;;;;;;;;;;;;;;;
2000,23085,14948,1173,1522,11201,2931,1193,0,1070,5206,4061,1145,2358,1139,0,0,779,0,28122,7265,1139,964,35,4246,417,1819,15472,12137,84182,68185,17627,37795,12763,10578,1556,593,1083,1409,1406,631,273,1595,5419,1765,5668,1048,458,590,4620,540,1920,87,8882,150026,0,0;;;;;;;;;;;;;;;;;;;;
2001,18879,12268,857,1217,9182,2259,934,0,800,4352,3411,941,1880,937,0,0,730,0,22615,5209,1001,866,23,3206,367,1345,13199,10755,74976,60671,15498,34922,10251,9669,1381,615,1100,1194,1281,581,247,1463,4636,1401,4945,944,427,517,4001,457,1571,68,6065,127548,0,0;;;;;;;;;;;;;;;;;;;;
2002,18263,11645,828,996,8844,2177,852,0,808,4441,3675,766,1902,763,0,0,831,0,22130,4719,1083,894,53,3188,424,1377,13140,10468,76480,59639,15711,33971,9957,11802,1770,591,1475,1495,1352,774,304,1858,5039,1572,5736,917,402,515,4819,533,2082,75,5413,128097,0,0;;;;;;;;;;;;;;;;;;;;
2003,20271,12447,776,1042,9577,2631,1024,0,954,5193,4336,857,2129,852,0,0,951,0,23170,4324,1465,1255,48,3714,423,1748,13667,10493,89266,68535,20246,36877,11412,14455,2196,746,1769,1869,1628,947,411,2185,6276,2012,6853,1050,428,622,5803,666,2734,128,4960,144649,0,0;;;;;;;;;;;;;;;;;;;;
2004,22356,13471,481,798,10988,2695,1118,0,956,6190,5485,705,2805,702,0,0,1195,0,27961,4818,1382,1178,43,4496,513,2239,17265,13644,106580,82418,40058,32887,9473,16454,2682,784,2005,2143,1728,1245,450,2492,7708,3323,7769,1198,479,719,6571,646,3191,168,4011,168845,0,0;;;;;;;;;;;;;;;;;;;;
2005,19607,11700,675,810,8884,2306,813,0,978,5601,5159,442,2736,437,0,0,1132,0,26859,4069,1280,1078,40,4436,571,2008,17074,13607,98453,75224,25400,37819,12005,15586,2078,811,2386,1981,1438,1360,472,2340,7643,2624,6352,854,347,507,5498,503,2735,127,3245,154643,0,0;;;;;;;;;;;;;;;;;;;;
2006,21048,12829,429,612,10524,2167,738,0,938,6052,5623,429,2803,421,0,0,1520,0,23305,3469,1103,965,21,3980,470,1986,14753,11629,93573,69144,33702,27187,8255,17258,3013,877,2193,2120,1630,1266,601,2485,7171,3210,6669,919,380,539,5750,456,3154,126,3147,147868,0,0;;;;;;;;;;;;;;;;;;;;
2007,14034,6253,506,604,3743,1738,512,0,767,6043,5546,497,2314,493,0,0,2031,0,14072,2142,954,759,28,3038,428,1348,7938,4912,67151,48047,19753,21163,7131,13675,1893,632,1644,1744,1450,1245,435,1944,5429,1939,5379,986,408,578,4393,496,1655,137,30965,131738,0,0;;;;;;;;;;;;;;;;;;;;
